FilingName,Exchange,Ticker,Dismissed,SettlementAmount,FilingYear
CDW Corporation,NASDAQ,CDWC,No,#NULL!,2007
"Cadiz, Inc.",NASDAQ,CDZI,Ongoing,#NULL!,2015
Heckmann Corporation,New York SE,HEK,No,"$27,000,000.00",2010
"The Hartford Financial Services Group, Inc.",New York SE,HIG,Yes,#NULL!,2010
Central European Distribution Corporation,NASDAQ,CEDC,Ongoing,#NULL!,2012
"Constellation Energy Group, Inc.",New York SE,CEG,No,"$4,000,000.00",2008
"Constellation Energy Group, Inc.",New York SE,CEG,Yes,#NULL!,2008
"Harleysville National Corporation : First Niagara Financial Group, Inc. Acquisition",NASDAQ,HNBC,Yes,#NULL!,2010
Sembcorp Utilities Pte Ltd. : common stock of Cascal N.V.,New York SE,HOO,Yes,#NULL!,2010
Hewlett-Packard Company,New York SE,HPQ,Yes,#NULL!,2010
Century Aluminum Company : Series A Convertible Preferred Stock,NASDAQ,CENX,Yes,#NULL!,2009
"ICx Technologies, Inc.",NASDAQ,ICXT,No,#NULL!,2010
"China Energy Savings TECHNOLOGY, Inc.",NASDAQ,CESV,Yes,#NULL!,2006
SearchMedia Holdings Limited (Formerly Known As Ideation Acquisition Corp.),New York SE,IDI,No,"$2,750,000.00",2010
Countrywide Financial Corporation,New York SE,CFC,No,"$624,000,000.00",2007
"Intuitive Surgical, Inc.",NASDAQ,ISRG,Yes,#NULL!,2010
"Coast Financial Holdings, Inc.",NASDAQ,CFHI,No,"$6,349,000.00",2007
"ConforMIS, Inc.",NASDAQ,CFMS,Ongoing,#NULL!,2015
"J. Crew Group, Inc.",New York SE,JCG,Yes,#NULL!,2010
Cano Petroleum Inc.,American SE,CFW,Yes,#NULL!,2008
Johnson & Johnson,New York SE,JNJ,No,"$22,900,000.00",2010
The St. Joe Company,NASDAQ,JOE,Yes,#NULL!,2010
"China-Biotics, Inc.",NASDAQ,CHBT,Ongoing,#NULL!,2010
Koss Corporation,NASDAQ,KOSS,No,"$1,000,000.00",2010
Lincoln Educational Services Corporation,NASDAQ,LINC,Yes,#NULL!,2010
"Lance, Inc.",NASDAQ,LNCE,Yes,#NULL!,2010
