FilingName,Exchange,Ticker,Dismissed,SettlementAmount,FilingYear
"Colonial BancGroup, Inc.",NEW YORKSE,CNB,No,10500000,2009
Centene Corporation,New York SE,CNC,Yes,0,2006
"NightHawk Radiology Holdings, Inc. : Merger with Virtual Radiologic Corporation",NASDAQ,NHWK,No,0,2010
Connetics Corporation,NASDAQ,CNCT,No,12750000,2006
Baker Tilly Hong Kong Limited : China North East Petroleum Holdings Limited Common Stock,OTC-BB,CNEP,Ongoing,0,2014
Conseco Inc.,New York SE,CNO,Yes,0,2009
"China Organic Agriculture, Inc.",OTC-BB,CNOA,No,600000,2008
"National Lampoon, Inc.",Pink Sheets,NLMP,No,1000000,2010
Nokia Corporation,New York SE,NOK,Yes,0,2010
"Corinthian Colleges, Inc.",NASDAQ,COCO,Ongoing,0,2013
"Novell, Inc.",NASDAQ,NOVL,Yes,0,2010
"Coach, Inc.",New York SE,COH,Yes,0,2009
Inergy Holdings L.P.,New York SE,NRGP,Yes,0,2010
"Cogent Communications Group, Inc.",American SE,COI,Yes,0,2005
Cole Holdings Corporation : Cole Credit Property Trust III,Privately Traded,COLE,Ongoing,0,2013
"Conn's, Inc.",NASDAQ,CONN,Ongoing,0,2014
"Conn's, Inc.",NASDAQ,CONN,Ongoing,0,2014
"The Cooper Companies, Inc.",New York SE,COO,No,27000000,2006
Northern Trust Corporation,NASDAQ,NTRS,Yes,0,2010
Majesco Entertainment Company,NASDAQ,COOL,No,0,2005
"Corus Bankshares, Inc.",NASDAQ,CORS,No,10000000,2009
Coty Inc.,New York SE,COTY,Ongoing,0,2014
