"","acc.loss","price.trend","company.rating","eps","log.shares","cap.reserve","cash","log.common.stocks","other.finance","finance.cash.flow","other.funds","inventory.diff","investing.other","options.granted","risk.free.rate","assumed.volatility","sale.investments","log.long.tax","net.tax.liability","settlement.pct","market.valuation","was.litigated"
"202",0,-1.09,3,0.54208,16.3339093645262,3.9918503052877,-5.603,-2.07944154167984,0,0.285,0.471,-0.213,-0.04,0.017,0.9,82,0.023,1.88676657280639,7.989,0,61318167.3776667,FALSE
"203",0,14.98,3,0.560833333333333,16.3711570092582,4.00385441404575,4.13,-2.04022082852655,-0.298,-0.095,0.754,-2.655,-0.019,0,0,0,0.015,-0.0932123817221787,5.426,0,141085537.119709,FALSE
"204",0,0.2162,2,-0.249944,19.1208489394028,2.02458929013169,-0.001,-Inf,0,0.189,0.215,0.011,0,0,0,0,0,-2.30258509299405,0,0,4083570.3946,FALSE
"205",0,-0.03,2,-11.2143928571429,21.2921761582498,2.3832429960115,-0.027,-3.86323284125871,0,0.087,2.637,0.007,0,0,0,0,0,-2.30258509299405,0,0,110396328.621032,FALSE
"206",0,-0.98,2,0.66124,16.0265306492112,3.69957208365268,38.826,-4.71053070164592,0,0.108,1.458,0.447,0,0.187,1.3,51.4,0,0.258510695151501,4.343,0,38576022.05,FALSE
"207",0.023,1.82,2,2.41730158730159,16.0240840720512,3.72112880832943,-38.317,-4.71053070164592,0,-1.823,1.147,-0.998,0,0.128,1.8,49.8,0.049,0.116893751471499,4.349,0,76500794.6759259,FALSE
"208",59.2,-0.140000000000001,3,-0.0276587301587301,19.1619503487863,5.85678964378138,-304.9,8.11054738655991,-0.9,-394.7,40.2,-162.8,15.9,0.8,2.15,48.5,0,3.23474917402449,0.2,0,1924589445.68452,FALSE
"209",-12.3,-2.54,3,0.449087301587302,19.0998611390887,5.91215074038826,26.1,8.11611843160937,-7,-44.5,-5.4,2,17.1,0.9,2.3,52,0,3.72569342723665,13.8,0,1823026210.19841,FALSE
"210",4.1,-0.359999999999999,3,0.82668,19.0674051289133,6.48188336109631,-108.4,7.92829791222832,-4,-252.8,56.7,147.3,8.9,1.1,0.9,53,0,3.60277675506052,23.1,0,1532353513.67667,FALSE
"211",-14.3,2.6,3,0.515873015873016,18.9188525013184,6.52458967836874,-6.2,7.90544164906029,-2.7,-107,32.9,-71.5,4.2,1,1,50,0,3.8155121050473,27.4,0,1577687091.74603,FALSE
"212",0,-7.6025,3,1.79674603174603,17.15494172729,5.8508049519631,122.144,1.04872151905464,-0.126,3.101,31.064,12.015,1.925,0.653,1.99,38,0.116,-2.30258509299405,11.974,0,814381543.59127,FALSE
"213",0,0.560000000000002,3,2.6209126984127,17.0543855361009,5.87212060637286,-48.79,1.05535677999715,-0.563,-136.112,10.858,-5.224,-0.05,0.681,1.58,36.31,0.007,-2.30258509299405,9.428,0,725532571.984127,FALSE
"214",0,-5.48,3,1.78764,16.7341414605364,5.89014585227649,-190.91,1.062294025994,-0.511,-237.99,8.395,-4.407,0,0.472,0.64,36.63,0.014,-0.619896718820353,12.621,0,529678751.466667,FALSE
"215",0,5.01,3,1.2409126984127,16.62950015476,5.89684612798206,-11.252,1.06712162157674,-0.122,-43.6,3.405,4.093,0,0.297,1.02,30.09,0.009,-2.30258509299405,8.927,0,450955417.989418,FALSE
"216",0,-1.76,2,-3.78198412698413,15.6383808939941,4.35784920185562,0.686,-2.65926003693278,0.345,2.345,22.871,-0.313,0,0,0,0,0,-2.30258509299405,0,0,6613225.69203042,FALSE
"217",0,-0.2686,2,4.67857142857143,16.3138856238794,4.38166406895487,-0.705,-2.07944154167984,0,0.356,1.632,0.412,0,0,0,0,0,-2.30258509299405,0,0,1428105.36904762,FALSE
"218",0,-0.002,2,-0.1588,16.8346440740638,4.39289238798419,0.062,-1.53247687129797,0,0.809,0.103,-0.094,0,0,0,0,0,-2.30258509299405,0,0,1462664.10593333,FALSE
